Hour,"Capacity, A*h","Capacity, %"
7721,5.5193,98.8484132101154
7722,5.5193,98.8484132101154
7723,5.5193,98.8484132101154
7724,5.5193,98.8484132101154
7725,5.5193,98.8484132101154
7726,5.5193,98.8484132101154
7727,5.5193,98.8484132101154
7728,5.5193,98.8484132101154
7729,5.5193,98.8484132101154
7730,5.5193,98.8484132101154
7731,5.5193,98.8484132101154
7732,5.5193,98.8484132101154
7733,5.5193,98.8484132101154
7734,5.5193,98.8484132101154
7735,5.5193,98.8484132101154
7736,5.5193,98.8484132101154
7737,5.5193,98.8484132101154
7738,5.5193,98.8484132101154
7739,5.5193,98.8484132101154
7740,5.5193,98.8484132101154
7741,5.5193,98.8484132101154
7742,5.5193,98.8484132101154
7743,5.5193,98.8484132101154
7744,5.5191,98.8448312916398
7745,5.5191,98.8448312916398
7746,5.5191,98.8448312916398
7747,5.5191,98.8448312916398
7748,5.5191,98.8448312916398
7749,5.5191,98.8448312916398
7750,5.5191,98.8448312916398
7751,5.5191,98.8448312916398
7752,5.5191,98.8448312916398
7753,5.5191,98.8448312916398
7754,5.5191,98.8448312916398
7755,5.5191,98.8448312916398
7756,5.5191,98.8448312916398
7757,5.5191,98.8448312916398
7758,5.5191,98.8448312916398
7759,5.5191,98.8448312916398
7760,5.5191,98.8448312916398
7761,5.5191,98.8448312916398
7762,5.5191,98.8448312916398
7763,5.5191,98.8448312916398
7764,5.5191,98.8448312916398
7765,5.5191,98.8448312916398
7766,5.5191,98.8448312916398
7767,5.5191,98.8448312916398
7768,5.5189,98.8412493731643
7769,5.5189,98.8412493731643
7770,5.5189,98.8412493731643
7771,5.5189,98.8412493731643
7772,5.5189,98.8412493731643
7773,5.5189,98.8412493731643
7774,5.5189,98.8412493731643
7775,5.5189,98.8412493731643
7776,5.5189,98.8412493731643
7777,5.5189,98.8412493731643
7778,5.5189,98.8412493731643
7779,5.5189,98.8412493731643
7780,5.5189,98.8412493731643
7781,5.5189,98.8412493731643
7782,5.5189,98.8412493731643
7783,5.5189,98.8412493731643
7784,5.5189,98.8412493731643
7785,5.5189,98.8412493731643
7786,5.5189,98.8412493731643
7787,5.5189,98.8412493731643
7788,5.5189,98.8412493731643
7789,5.5189,98.8412493731643
7790,5.5189,98.8412493731643
7791,5.5189,98.8412493731643
7792,5.5187,98.8376674546887
7793,5.5187,98.8376674546887
7794,5.5187,98.8376674546887
7795,5.5187,98.8376674546887
7796,5.5187,98.8376674546887
7797,5.5187,98.8376674546887
7798,5.5187,98.8376674546887
7799,5.5187,98.8376674546887
7800,5.5187,98.8376674546887
7801,5.5187,98.8376674546887
7802,5.5187,98.8376674546887
7803,5.5187,98.8376674546887
7804,5.5187,98.8376674546887
7805,5.5187,98.8376674546887
7806,5.5187,98.8376674546887
7807,5.5187,98.8376674546887
7808,5.5187,98.8376674546887
7809,5.5187,98.8376674546887
7810,5.5187,98.8376674546887
7811,5.5187,98.8376674546887
7812,5.5187,98.8376674546887
7813,5.5187,98.8376674546887
7814,5.5187,98.8376674546887
7815,5.5187,98.8376674546887
7816,5.5185,98.8340855362132
7817,5.5185,98.8340855362132
7818,5.5185,98.8340855362132
7819,5.5185,98.8340855362132
7820,5.5185,98.8340855362132
7821,5.5185,98.8340855362132
7822,5.5185,98.8340855362132
7823,5.5185,98.8340855362132
7824,5.5185,98.8340855362132
7825,5.5185,98.8340855362132
7826,5.5185,98.8340855362132
7827,5.5185,98.8340855362132
7828,5.5185,98.8340855362132
7829,5.5185,98.8340855362132
7830,5.5185,98.8340855362132
7831,5.5185,98.8340855362132
7832,5.5185,98.8340855362132
7833,5.5185,98.8340855362132
7834,5.5185,98.8340855362132
7835,5.5185,98.8340855362132
7836,5.5185,98.8340855362132
7837,5.5185,98.8340855362132
7838,5.5185,98.8340855362132
7839,5.5185,98.8340855362132
7840,5.5183,98.8305036177377
7841,5.5183,98.8305036177377
7842,5.5183,98.8305036177377
7843,5.5183,98.8305036177377
7844,5.5183,98.8305036177377
7845,5.5183,98.8305036177377
7846,5.5183,98.8305036177377
7847,5.5183,98.8305036177377
7848,5.5183,98.8305036177377
7849,5.5183,98.8305036177377
7850,5.5183,98.8305036177377
7851,5.5183,98.8305036177377
7852,5.5183,98.8305036177377
7853,5.5183,98.8305036177377
7854,5.5183,98.8305036177377
