t,Pcharge,Pdischarge
5250,5.878458956548508e-7,1.5538331638710317
5251,5.878456982168037e-7,10.00482525003729
5252,5.878456893365732e-7,13.389598911799782
5253,5.878456965646483e-7,11.249336389385617
5254,5.878457048247428e-7,9.2007823586276
5255,5.878457130011338e-7,7.700705064596987
5256,5.878457212476877e-7,6.579591479421714
5257,5.878457262637438e-7,6.03269360201874
5258,5.8784572808794e-7,5.8480384218234835
5259,5.878457284688024e-7,5.801970063013139
5260,5.878457281718546e-7,5.816722036738465
5261,5.87845725253771e-7,6.079717924912842
5262,5.878457214358383e-7,6.458475446325144
5263,5.878457098465174e-7,7.983041368232476
5264,5.87845701792936e-7,9.355086895064105
5265,5.878457130453567e-7,7.190814956534354
5266,5.878459496737414e-7,1.2576424772813937
5267,9.050501169044738,5.878457023855349e-7
5268,16.88450116904468,5.878456806507083e-7
5269,22.20300116904465,5.878456696659866e-7
5270,25.327501169044623,5.878456596820878e-7
5271,25.29800116904463,5.878456592963993e-7
5272,19.341001169044674,5.878456754060185e-7
5273,9.702501169044734,5.878456995462415e-7
5274,5.878458956594912e-7,1.5538389098571153
5275,5.878456982227574e-7,10.004776725218159
5276,5.878456893452818e-7,13.389266538505613
5277,5.87845696575956e-7,11.24904127571274
5278,5.87845704837944e-7,9.200564253640618
5279,5.878457130156946e-7,7.700552953556612
5280,5.87845721263219e-7,6.57949129494235
5281,5.878457262799863e-7,6.03262363198624
5282,5.878457281047305e-7,5.847990356957502
5283,5.878457284860095e-7,5.801946112122438
5284,5.878457281893547e-7,5.816727677975945
5285,5.878457252714437e-7,6.07976304392393
5286,5.878457214535639e-7,6.458579104831608
5287,5.878457098641228e-7,7.98328682446927
5288,5.878457018101848e-7,9.3555560267102
5289,5.878457130619993e-7,7.191208215490191
5290,5.878459496890865e-7,1.2576629910300556
5291,9.050501169044738,5.878457024057751e-7
5292,16.88450116904468,5.878456806712517e-7
5293,22.20300116904465,5.878456696859153e-7
5294,25.327501169044623,5.878456597001655e-7
5295,25.29800116904463,5.878456593114293e-7
5296,19.341001169044674,5.878456754170774e-7
5297,9.702501169044734,5.878456995536078e-7
5298,5.878458956641347e-7,1.553844661131731
5299,5.878456982287113e-7,10.004727837761175
5300,5.878456893539944e-7,13.388935262591522
5301,5.878456965872647e-7,11.248745856022193
5302,5.878457048511512e-7,9.20034628678891
5303,5.878457130302601e-7,7.700400547754928
5304,5.87845721278756e-7,6.5793904726197425
5305,5.878457262962326e-7,6.032553290531931
5306,5.878457281215243e-7,5.847942246574219
5307,5.878457285032163e-7,5.801922172590676
5308,5.878457282068572e-7,5.816733228993863
5309,5.878457252891199e-7,6.079808202262924
5310,5.878457214712922e-7,6.458682761421362
5311,5.87845709881731e-7,7.983532753133011
5312,5.878457018274385e-7,9.356024044185235
5313,5.878457130786452e-7,7.1916012307485015
5314,5.878459497044313e-7,1.2576834939303017
5315,9.050501169044738,5.878457024260138e-7
5316,16.88450116904468,5.878456806917963e-7
5317,22.20300116904465,5.878456697058439e-7
5318,25.327501169044623,5.878456597182473e-7
5319,25.29800116904463,5.878456593264591e-7
5320,19.341001169044674,5.878456754281359e-7
5321,9.702501169044734,5.878456995609759e-7
5322,5.878458956687793e-7,1.553850408410399
5323,5.878456982346698e-7,10.004679229284543
5324,5.878456893627048e-7,13.388603507027446
5325,5.878456965985758e-7,11.248450551332509
5326,5.878457048643579e-7,9.200128437304897
5327,5.87845713044821e-7,7.7002486300984385
5328,5.878457212942929e-7,6.5792902838963725
5329,5.878457263124809e-7,6.032483171947679
5330,5.878457281383174e-7,5.847894197037929
5331,5.878457285204243e-7,5.801898125968468
5332,5.878457282243604e-7,5.816738834062158
5333,5.878457253067989e-7,6.079853381246796
5334,5.878457214890253e-7,6.458786485396012
5335,5.878457098993398e-7,7.983778332608313
5336,5.878457018446922e-7,9.356492964886973
5337,5.878457130952912e-7,7.191994336993164
5338,5.878459497197754e-7,1.2577040146557152
5339,9.050501169044738,5.878457024462528e-7
5340,16.88450116904468,5.878456807123431e-7
5341,22.20300116904465,5.87845669725775e-7
5342,25.327501169044623,5.878456597363318e-7
5343,25.29800116904463,5.878456593414945e-7
5344,19.341001169044674,5.878456754391998e-7
5345,9.702501169044734,5.878456995683481e-7
5346,5.878458956734261e-7,1.5538561769320964
5347,5.87845698240628e-7,10.00463038248171
5348,5.878456893714203e-7,13.388271513681003
5349,5.878456966098889e-7,11.24815496761663
5350,5.878457048775682e-7,9.199910400409449
5351,5.878457130593904e-7,7.700096455088158
5352,5.878457213098308e-7,6.5791901263509285
5353,5.878457263287304e-7,6.032413042142814
5354,5.878457281551108e-7,5.847846232053458
5355,5.878457285376379e-7,5.801874060918536
5356,5.878457282418662e-7,5.816744453363035
5357,5.878457253244792e-7,6.079898406247938
5358,5.878457215067574e-7,6.45888999990287
5359,5.878457099169552e-7,7.98402351168365
5360,5.878457018619509e-7,9.356961701083923
5361,5.87845713111938e-7,7.192387531329468
5362,5.878459497351235e-7,1.2577245286749221
5363,9.050501169044738,5.878457024664915e-7
5364,16.88450116904468,5.878456807328898e-7
5365,22.20300116904465,5.878456697457087e-7
5366,25.327501169044623,5.878456597544177e-7
5367,25.29800116904463,5.878456593565311e-7
5368,19.341001169044674,5.878456754502674e-7
5369,9.702501169044734,5.878456995757209e-7
5370,5.878458956780715e-7,1.5538619398095619
5371,5.878456982465898e-7,10.004581846039397
5372,5.878456893801417e-7,13.387939180309546
5373,5.878456966212032e-7,11.247860254608717
5374,5.878457048907824e-7,9.199692120349921
5375,5.87845713073961e-7,7.699944069926357
5376,5.878457213253748e-7,6.579089420300834
5377,5.878457263449834e-7,6.032342849213758
5378,5.878457281719092e-7,5.847798189723494
5379,5.878457285548502e-7,5.801849997689655
5380,5.878457282593728e-7,5.816750113943645
5381,5.878457253421623e-7,6.0799435622977525
5382,5.87845721524491e-7,6.458993526063195
5383,5.878457099345662e-7,7.984269410239477
5384,5.878457018792058e-7,9.357430078362874
5385,5.878457131285852e-7,7.192780816627919
5386,5.878459497504693e-7,1.2577450516705742
5387,9.050501169044738,5.878457024867353e-7
5388,16.88450116904468,5.878456807534416e-7
5389,22.20300116904465,5.878456697656426e-7
5390,25.327501169044623,5.878456597725048e-7
5391,25.298001169044632,5.878456593715687e-7
5392,19.341001169044674,5.878456754613333e-7
5393,9.702501169044734,5.878456995830958e-7
5394,5.87845895682719e-7,1.553867713353727
5395,5.878456982525526e-7,10.004533901480253
5396,5.87845689388858e-7,13.387608179269677
5397,5.878456966325221e-7,11.247565013292329
5398,5.878457049039956e-7,9.199474630155885
5399,5.878457130885316e-7,7.699792370806381
5400,5.878457213409185e-7,6.578988916321003
